Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Power
M,298.3,308,1463,42.5,190,0,0,0,0,0,0,9.699999999999989,62177.5
M,298.2,307.9,1403,45.1,193,0,0,0,0,0,0,9.699999999999989,63275.3
L,298.3,308,1451,47.1,196,0,0,0,0,0,0,9.699999999999989,68342.1
M,298.4,308,1416,38.2,198,1,1,0,0,0,0,9.600000000000023,54091.200000000004
L,298.3,308.1,1672,41.3,0,0,0,0,0,0,0,9.800000000000011,69053.59999999999
H,298.3,308,1637,30.8,2,0,0,0,0,0,0,9.699999999999989,50419.6
L,298.4,308,1540,37.8,7,0,0,0,0,0,0,9.600000000000023,58211.99999999999
L,298.4,308.1,1279,53.1,9,0,0,0,0,0,0,9.700000000000045,67914.90000000001
L,298.4,308.2,1604,34.9,11,0,0,0,0,0,0,9.800000000000011,55979.6
L,298.5,308.2,1654,27.1,13,0,0,0,0,0,0,9.699999999999989,44823.4
M,298.5,308.2,1564,37.5,15,0,0,0,0,0,0,9.699999999999989,58650
L,298.5,308.2,1451,47.5,18,0,0,0,0,0,0,9.699999999999989,68922.5
L,298.5,308.3,1504,38,20,0,0,0,0,0,0,9.800000000000011,57152
M,298.5,308.3,1381,50.5,22,0,0,0,0,0,0,9.800000000000011,69740.5
L,298.6,308.4,1562,34.4,25,0,0,0,0,0,0,9.799999999999955,53732.799999999996
L,298.5,308.3,1811,24.7,27,0,0,0,0,0,0,9.800000000000011,44731.7
M,298.6,308.3,1717,28.7,29,0,0,0,0,0,0,9.699999999999989,49277.9
L,298.6,308.3,1278,60.5,32,0,0,0,0,0,0,9.699999999999989,77319
L,298.7,308.5,1616,30.2,34,0,0,0,0,0,0,9.800000000000011,48803.2
L,298.6,308.4,1397,46.4,36,0,0,0,0,0,0,9.799999999999955,64820.799999999996
L,298.6,308.4,1485,42.9,38,0,0,0,0,0,0,9.799999999999955,63706.5
L,298.6,308.4,1310,59.7,40,0,0,0,0,0,0,9.799999999999955,78207
L,298.5,308.2,1301,66.3,42,1,0,0,1,0,0,9.699999999999989,86256.3
L,298.5,308.3,1458,44,44,0,0,0,0,0,0,9.800000000000011,64152
L,298.7,308.5,1483,42.5,46,0,0,0,0,0,0,9.800000000000011,63027.5
L,298.7,308.5,1375,46.4,48,0,0,0,0,0,0,9.800000000000011,63800
M,298.7,308.5,1660,27,50,0,0,0,0,0,0,9.800000000000011,44820
H,298.7,308.4,1560,33.3,53,0,0,0,0,0,0,9.699999999999989,51947.99999999999
L,298.7,308.5,1480,42.2,58,0,0,0,0,0,0,9.800000000000011,62456.00000000001
L,298.7,308.4,1373,46.9,60,0,0,0,0,0,0,9.699999999999989,64393.7
L,298.7,308.5,1444,54.2,62,0,0,0,0,0,0,9.800000000000011,78264.8
M,298.7,308.6,1722,24.7,64,0,0,0,0,0,0,9.900000000000034,42533.4
L,298.7,308.5,1469,39.9,67,0,0,0,0,0,0,9.800000000000011,58613.1
M,298.7,308.5,1360,52.9,69,0,0,0,0,0,0,9.800000000000011,71944
L,298.7,308.4,1750,25.8,72,0,0,0,0,0,0,9.699999999999989,45150
M,298.7,308.3,1349,46.6,74,0,0,0,0,0,0,9.600000000000023,62863.4
L,298.7,308.5,1668,35.2,77,0,0,0,0,0,0,9.800000000000011,58713.600000000006
L,298.9,308.6,1400,49.5,79,0,0,0,0,0,0,9.700000000000045,69300
L,298.8,308.6,1331,62.8,81,0,0,0,0,0,0,9.800000000000011,83586.8
L,298.8,308.5,1444,42.2,83,0,0,0,0,0,0,9.699999999999989,60936.8
H,298.8,308.5,1359,47.6,85,0,0,0,0,0,0,9.699999999999989,64688.4
M,298.8,308.5,1425,47.4,90,0,0,0,0,0,0,9.699999999999989,67545
M,298.9,308.6,1469,34.2,93,0,0,0,0,0,0,9.700000000000045,50239.8
L,299,308.7,1892,22.8,96,0,0,0,0,0,0,9.699999999999989,43137.6
H,299,308.7,1940,19.9,98,0,0,0,0,0,0,9.699999999999989,38606
L,299,308.8,1405,55.2,103,0,0,0,0,0,0,9.800000000000011,77556
M,299,308.9,1449,39.6,105,0,0,0,0,0,0,9.899999999999977,57380.4
L,299.1,308.9,1686,29.6,108,0,0,0,0,0,0,9.799999999999955,49905.600000000006
L,299.1,308.9,1680,27.2,110,0,0,0,0,0,0,9.799999999999955,45696
M,299.1,308.9,1397,52.4,112,0,0,0,0,0,0,9.799999999999955,73202.8
M,299.2,309,1597,30.3,115,0,0,0,0,0,0,9.800000000000011,48389.1
L,299.3,309.1,1470,41.1,118,0,0,0,0,0,0,9.800000000000011,60417
M,299.3,309.1,1703,31.3,120,0,0,0,0,0,0,9.800000000000011,53303.9
L,299.3,309.1,1388,45.5,123,0,0,0,0,0,0,9.800000000000011,63154
L,299.3,309.2,1775,24.2,125,0,0,0,0,0,0,9.899999999999977,42955
L,299.3,309.2,1465,41.5,127,0,0,0,0,0,0,9.899999999999977,60797.5
M,299.3,309.2,1586,37.9,129,0,0,0,0,0,0,9.899999999999977,60109.399999999994
M,299.5,309.3,1675,29.2,132,0,0,0,0,0,0,9.800000000000011,48910
M,299.4,309.2,1470,44.4,135,0,0,0,0,0,0,9.800000000000011,65268
L,299.5,309.3,1477,40.4,138,0,0,0,0,0,0,9.800000000000011,59670.799999999996
L,299.5,309.3,1382,61,140,0,0,0,0,0,0,9.800000000000011,84302
M,299.6,309.4,1605,29.8,142,0,0,0,0,0,0,9.799999999999955,47829
L,299.6,309.4,1643,32.9,145,0,0,0,0,0,0,9.799999999999955,54054.7
L,299.5,309.3,1333,54.1,147,0,0,0,0,0,0,9.800000000000011,72115.3
L,299.5,309.3,1520,42.3,149,0,0,0,0,0,0,9.800000000000011,64295.99999999999
M,299.5,309.3,1902,24,151,0,0,0,0,0,0,9.800000000000011,45648
H,299.5,309.4,1386,44.4,154,0,0,0,0,0,0,9.899999999999977,61538.4
L,299.6,309.5,1803,27.7,159,0,0,0,0,0,0,9.899999999999977,49943.1
L,299.7,309.6,1359,50.7,161,0,0,0,0,0,0,9.900000000000034,68901.3
M,299.7,309.6,1477,42.7,163,0,0,0,0,0,0,9.900000000000034,63067.9
L,299.7,309.6,1321,53.4,166,0,0,0,0,0,0,9.900000000000034,70541.4
L,299.6,309.5,1453,41.4,168,0,0,0,0,0,0,9.899999999999977,60154.2
L,299.7,309.6,1419,45.1,170,0,0,0,0,0,0,9.900000000000034,63996.9
L,299.7,309.6,1512,36.2,172,0,0,0,0,0,0,9.900000000000034,54734.4
L,299.7,309.6,1553,36.8,174,0,0,0,0,0,0,9.900000000000034,57150.399999999994
M,299.7,309.6,1534,39.1,176,0,0,0,0,0,0,9.900000000000034,59979.4
H,299.7,309.6,1553,41,179,0,0,0,0,0,0,9.900000000000034,63673
L,299.7,309.5,1352,49.7,184,0,0,0,0,0,0,9.800000000000011,67194.40000000001
M,299.7,309.6,1313,60,186,0,0,0,0,0,0,9.900000000000034,78780
L,299.6,309.5,1570,35.5,189,0,0,0,0,0,1,9.899999999999977,55735
L,299.6,309.4,1677,31.1,191,0,0,0,0,0,0,9.799999999999955,52154.700000000004
L,299.5,309.4,1602,31.5,193,0,0,0,0,0,0,9.899999999999977,50463
L,299.5,309.4,1390,58.8,195,1,0,0,0,1,0,9.899999999999977,81732
L,299.4,309.3,1544,36,197,0,0,0,0,0,0,9.900000000000034,55584
L,299.4,309.4,1701,31.2,199,0,0,0,0,0,0,10,53071.2
M,299.4,309.3,1692,28.4,201,0,0,0,0,0,0,9.900000000000034,48052.799999999996
M,299.3,309.3,1523,37.9,204,0,0,0,0,0,0,10,57721.7
L,299.3,309.2,2280,15.4,207,0,0,0,0,0,0,9.899999999999977,35112
M,299.4,309.3,1485,47.1,209,0,0,0,0,0,0,9.900000000000034,69943.5
H,299.4,309.2,1513,36.1,212,0,0,0,0,0,0,9.800000000000011,54619.3
H,299.4,309.3,1743,28.2,0,0,0,0,0,0,0,9.900000000000034,49152.6
L,299.5,309.3,1442,46.2,5,0,0,0,0,0,0,9.800000000000011,66620.40000000001
L,299.5,309.3,1462,46.7,7,0,0,0,0,0,0,9.800000000000011,68275.40000000001
H,299.4,309.3,1439,49.7,9,0,0,0,0,0,0,9.900000000000034,71518.3
L,299.5,309.3,1577,36.6,14,0,0,0,0,0,0,9.800000000000011,57718.200000000004
L,299.6,309.4,1331,46.4,16,0,0,0,0,0,0,9.799999999999955,61758.4
L,299.5,309.3,1941,22.5,18,0,0,0,0,0,0,9.800000000000011,43672.5
L,299.5,309.2,1393,47.3,20,0,0,0,0,0,0,9.699999999999989,65888.9
L,299.4,309.2,1433,42.1,22,0,0,0,0,0,0,9.800000000000011,60329.3
L,299.4,309.2,1444,48.2,24,0,0,0,0,0,0,9.800000000000011,69600.8
L,299.4,309.2,1564,39,26,0,0,0,0,0,0,9.800000000000011,60996
L,299.4,309.3,1377,43.6,28,0,0,0,0,0,0,9.900000000000034,60037.200000000004
L,299.4,309.3,1525,41.5,30,0,0,0,0,0,0,9.900000000000034,63287.5
M,299.5,309.4,1387,56.2,32,0,0,0,0,0,0,9.899999999999977,77949.40000000001
M,299.4,309.4,1326,47.5,35,0,0,0,0,0,0,10,62985
L,299.4,309.3,1401,59,38,0,0,0,0,0,0,9.900000000000034,82659
L,299.4,309.3,1596,31.8,40,0,0,0,0,0,0,9.900000000000034,50752.8
M,299.3,309.3,1471,46,42,0,0,0,0,0,0,10,67666
L,299.3,309.3,1528,37.8,45,0,0,0,0,0,0,10,57758.399999999994
L,299.3,309.3,1325,62,47,0,0,0,0,0,0,10,82150
M,299.3,309.1,1376,46.7,49,0,0,0,0,0,0,9.800000000000011,64259.200000000004
M,299.3,309.1,1600,35.3,52,0,0,0,0,0,0,9.800000000000011,56479.99999999999
L,299.3,309.1,1495,44,55,0,0,0,0,0,0,9.800000000000011,65780
L,299.4,309.1,1645,28.6,57,0,0,0,0,0,0,9.700000000000045,47047
M,299.4,309.1,1417,47.3,59,0,0,0,0,0,0,9.700000000000045,67024.09999999999
H,299.4,309,1415,51.7,62,0,0,0,0,0,0,9.600000000000023,73155.5
M,299.3,309,1496,43.4,67,0,0,0,0,0,0,9.699999999999989,64926.4
H,299.3,309,1508,35,70,0,0,0,0,0,0,9.699999999999989,52780
L,299.4,309,1436,47.9,75,0,0,0,0,0,0,9.600000000000023,68784.4
L,299.5,309.1,1852,22.6,77,0,0,0,0,0,0,9.600000000000023,41855.200000000004
L,299.5,309.1,1863,22.5,79,0,0,0,0,0,0,9.600000000000023,41917.5
H,299.4,309.1,1373,44.1,81,0,0,0,0,0,0,9.700000000000045,60549.3
L,299.4,309,1404,47.3,86,0,0,0,0,0,0,9.600000000000023,66409.2
M,299.4,309,1381,44.9,88,0,0,0,0,0,0,9.600000000000023,62006.9
H,299.4,308.9,1762,29.3,91,0,0,0,0,0,0,9.5,51626.6
H,299.3,308.9,1429,43,96,0,0,0,0,0,0,9.599999999999966,61447
M,299.3,308.9,1858,24.7,101,0,0,0,0,0,0,9.599999999999966,45892.6
H,299.2,308.8,1908,21.3,104,0,0,0,0,0,0,9.600000000000023,40640.4
M,299.2,308.8,1503,37.4,109,0,0,0,0,0,0,9.600000000000023,56212.2
M,299.2,308.8,1523,38.9,112,0,0,0,0,0,0,9.600000000000023,59244.7
L,299.3,309,1491,38.4,115,0,0,0,0,0,0,9.699999999999989,57254.4
L,299.2,308.9,1430,39.1,117,0,0,0,0,0,0,9.699999999999989,55913
L,299.3,308.9,1258,69.4,119,1,0,0,1,0,0,9.599999999999966,87305.20000000001
L,299.3,309,1449,46.5,121,0,0,0,0,0,0,9.699999999999989,67378.5
H,299.3,309,1425,40.6,123,0,0,0,0,0,0,9.699999999999989,57855
L,299.4,309,1800,24.3,128,0,0,0,0,0,0,9.600000000000023,43740
H,299.4,309,1607,33.7,130,0,0,0,0,0,0,9.600000000000023,54155.9
L,299.4,309,1391,58.2,135,0,0,0,0,0,0,9.600000000000023,80956.2
L,299.4,309.1,1432,45.4,137,0,0,0,0,0,0,9.700000000000045,65012.799999999996
L,299.4,309,1660,28.4,139,0,0,0,0,0,0,9.600000000000023,47144
H,299.3,309,1732,29.7,141,0,0,0,0,0,0,9.699999999999989,51440.4
L,299.3,309,1473,46.3,146,0,0,0,0,0,0,9.699999999999989,68199.9
L,299.3,309,1511,47.8,148,0,0,0,0,0,0,9.699999999999989,72225.8
L,299.2,308.9,1588,41.5,150,0,0,0,0,0,0,9.699999999999989,65902
L,299.3,308.9,1623,31.1,152,0,0,0,0,0,0,9.599999999999966,50475.3
L,299.3,309,1734,30.6,154,0,0,0,0,0,0,9.699999999999989,53060.4
L,299.3,309,1415,47.6,156,0,0,0,0,0,0,9.699999999999989,67354
L,299.3,309,1419,46.6,158,0,0,0,0,0,0,9.699999999999989,66125.40000000001
M,299.3,308.9,1577,34.9,160,0,0,0,0,0,0,9.599999999999966,55037.299999999996
L,299.3,308.9,1376,60.3,163,0,0,0,0,0,0,9.599999999999966,82972.8
M,299.3,308.8,1442,49,165,0,0,0,0,0,0,9.5,70658
L,299.4,308.9,1451,40.5,168,0,0,0,0,0,0,9.5,58765.5
L,299.3,308.8,1550,45.8,170,0,0,0,0,0,0,9.5,70990
L,299.3,308.8,1647,32.9,172,0,0,0,0,0,0,9.5,54186.299999999996
L,299.4,308.9,1550,33.7,174,0,0,0,0,0,0,9.5,52235.00000000001
L,299.4,308.9,1583,34.1,176,0,0,0,0,0,0,9.5,53980.3
L,299.4,309,1613,32.2,178,0,0,0,0,0,0,9.600000000000023,51938.600000000006
H,299.3,308.8,1636,35.5,180,0,0,0,0,0,0,9.5,58078
M,299.3,308.7,1289,51.5,185,0,0,0,0,0,0,9.399999999999977,66383.5
M,299.3,308.8,1648,28.4,188,0,0,0,0,0,0,9.5,46803.2
H,299.3,308.8,1397,45.4,191,0,0,0,0,0,0,9.5,63423.799999999996
M,299.3,308.9,1767,24.8,196,0,0,0,0,0,0,9.599999999999966,43821.6
L,299.3,308.8,1341,47.7,199,0,0,0,0,0,0,9.5,63965.700000000004
M,299.4,308.9,1457,41.5,201,0,0,0,0,0,0,9.5,60465.5
M,299.4,309,1939,19.8,204,0,0,0,0,0,0,9.600000000000023,38392.200000000004
M,299.5,309,1399,49.7,207,0,0,0,0,0,0,9.5,69530.3
M,299.5,309,1602,31.3,210,0,0,0,0,0,0,9.5,50142.6
L,299.4,309,1507,41,213,0,0,0,0,0,0,9.600000000000023,61787
L,299.4,309.1,1464,40.5,215,0,0,0,0,0,0,9.700000000000045,59292
L,299.5,309.1,1336,42.1,217,0,0,0,0,0,0,9.600000000000023,56245.6
L,299.6,309.2,1422,39.8,219,0,0,0,0,0,0,9.599999999999966,56595.6
L,299.6,309.2,1540,36.7,221,0,0,0,0,0,0,9.599999999999966,56518.00000000001
L,299.5,309.1,1476,47.8,223,0,0,0,0,0,0,9.600000000000023,70552.8
M,299.6,309.2,1867,23.4,225,1,1,0,0,0,0,9.599999999999966,43687.799999999996
H,299.6,309.1,1588,41.3,0,0,0,0,0,0,0,9.5,65584.4
M,299.5,309.1,1420,49.5,5,0,0,0,0,0,0,9.600000000000023,70290
L,299.5,309.1,1415,49.2,8,0,0,0,0,0,0,9.600000000000023,69618
M,299.4,309.1,1500,43.3,10,0,0,0,0,0,0,9.700000000000045,64949.99999999999
L,299.5,309.1,1502,44.6,13,0,0,0,0,0,0,9.600000000000023,66989.2
L,299.5,309.2,1816,23,15,0,0,0,0,0,0,9.699999999999989,41768
M,299.5,309.2,1495,41.6,17,0,0,0,0,0,0,9.699999999999989,62192
L,299.6,309.2,1572,33.4,20,0,0,0,0,0,0,9.599999999999966,52504.799999999996
M,299.5,309.2,1590,35.9,22,0,0,0,0,0,0,9.699999999999989,57081
M,299.6,309.3,1387,48.3,25,0,0,0,0,0,0,9.699999999999989,66992.09999999999
M,299.6,309.2,1393,47.7,28,0,0,0,0,0,0,9.599999999999966,66446.1
L,299.6,309.2,1602,37.3,31,0,0,0,0,0,0,9.599999999999966,59754.6
L,299.6,309.2,1601,33.3,33,0,0,0,0,0,0,9.599999999999966,53313.299999999996
H,299.6,309.2,1597,36.3,35,0,0,0,0,0,0,9.599999999999966,57971.1
H,299.5,309.1,1548,44.3,40,0,0,0,0,0,0,9.600000000000023,68576.4
M,299.5,309.2,1314,61.8,45,0,0,0,0,0,0,9.699999999999989,81205.2
M,299.6,309.3,1577,39.8,48,0,0,0,0,0,0,9.699999999999989,62764.6
L,299.8,309.4,1475,43.4,51,0,0,0,0,0,0,9.599999999999966,64015
L,299.8,309.4,1630,32.4,53,0,0,0,0,0,0,9.599999999999966,52812
L,299.7,309.4,1445,42.9,55,0,0,0,0,0,0,9.699999999999989,61990.5
M,299.8,309.4,1439,47.4,57,0,0,0,0,0,0,9.599999999999966,68208.59999999999
L,299.7,309.3,1420,44.1,60,0,0,0,0,0,0,9.600000000000023,62622
H,299.7,309.2,1554,41.6,62,0,0,0,0,0,0,9.5,64646.4
M,299.6,309.1,1471,44.3,67,0,0,0,0,0,0,9.5,65165.299999999996
L,299.6,309,1648,33.6,70,0,0,0,0,0,0,9.399999999999977,55372.8
L,299.6,309,1472,48.8,72,0,0,0,0,0,0,9.399999999999977,71833.59999999999
M,299.5,308.9,1448,42.9,74,0,0,0,0,0,0,9.399999999999977,62119.2
M,299.6,308.9,1568,35.3,77,0,0,0,0,0,0,9.299999999999955,55350.399999999994
L,299.6,308.9,1613,30.8,80,0,0,0,0,0,0,9.299999999999955,49680.4
M,299.7,308.9,1551,35.4,82,0,0,0,0,0,0,9.199999999999989,54905.399999999994
L,299.7,309,1412,49.2,85,0,0,0,0,0,0,9.300000000000011,69470.40000000001
M,299.7,308.9,1478,41,87,0,0,0,0,0,0,9.199999999999989,60598
M,299.8,309.1,1268,58,90,0,0,0,0,0,0,9.300000000000011,73544
L,299.8,309.1,1546,35.6,93,0,0,0,0,0,0,9.300000000000011,55037.600000000006
L,299.8,309,1567,36.1,95,0,0,0,0,0,0,9.199999999999989,56568.700000000004
M,299.9,309.2,1548,35.7,97,0,0,0,0,0,0,9.300000000000011,55263.600000000006
L,299.8,309,1614,30.8,100,0,0,0,0,0,0,9.199999999999989,49711.200000000004
M,299.7,309.1,1352,46.1,102,0,0,0,0,0,0,9.400000000000034,62327.200000000004
L,299.9,309.2,1624,34.6,105,0,0,0,0,0,0,9.300000000000011,56190.4
L,299.9,309.2,1436,52,107,0,0,0,0,0,0,9.300000000000011,74672
L,299.8,309.2,1591,37.5,109,0,0,0,0,0,0,9.399999999999977,59662.5
H,299.8,309.2,1435,42.6,111,0,0,0,0,0,0,9.399999999999977,61131
L,299.8,309.3,1386,49.4,116,0,0,0,0,0,0,9.5,68468.4
L,299.7,309.2,1401,54.1,118,0,0,0,0,0,0,9.5,75794.1
M,299.6,309,1245,64,120,0,0,0,0,0,0,9.399999999999977,79680
L,299.7,309.1,1475,40,123,0,0,0,0,0,0,9.400000000000034,59000
L,299.7,309.1,1473,39.4,125,0,0,0,0,0,0,9.400000000000034,58036.2
H,299.7,309.2,1355,44.8,127,0,0,0,0,0,0,9.5,60703.99999999999
H,299.7,309.2,1468,49.6,132,0,0,0,0,0,0,9.5,72812.8
L,299.7,309.2,1645,30.8,137,0,0,0,0,0,0,9.5,50666
L,299.7,309.1,1347,55.3,139,0,0,0,0,0,0,9.400000000000034,74489.09999999999
L,299.7,309.1,1713,33.5,141,0,0,0,0,0,0,9.400000000000034,57385.5
M,299.6,309.1,1435,48.4,143,0,0,0,0,0,0,9.5,69454
M,299.6,309,1736,26.1,146,0,0,0,0,0,0,9.399999999999977,45309.600000000006
L,299.6,309,1372,60.4,149,0,0,0,0,0,0,9.399999999999977,82868.8
L,299.7,309,1605,33,151,0,0,0,0,0,0,9.300000000000011,52965
L,299.6,309,1413,48.5,153,0,0,0,0,0,0,9.399999999999977,68530.5
M,299.7,309,1645,31.9,155,0,0,0,0,0,0,9.300000000000011,52475.5
M,299.7,309,1465,49,158,0,0,0,0,0,0,9.300000000000011,71785
M,299.6,308.9,1685,27.8,161,0,0,0,0,0,0,9.299999999999955,46843
L,299.5,308.8,1965,20.4,164,0,0,0,0,0,0,9.300000000000011,40086
H,299.4,308.6,1542,41.8,166,0,0,0,0,0,0,9.200000000000045,64455.6
L,299.4,308.7,1681,30.8,171,0,0,0,0,0,0,9.300000000000011,51774.8
L,299.5,308.7,1446,45.7,173,0,0,0,0,0,0,9.199999999999989,66082.2
L,299.4,308.6,1415,56.4,175,0,0,0,0,0,0,9.200000000000045,79806
L,299.5,308.6,1672,30.5,177,0,0,0,0,0,0,9.100000000000023,50996
L,299.5,308.7,2549,13,179,1,0,0,1,0,0,9.199999999999989,33137
L,299.4,308.6,1492,40.5,181,0,0,0,0,0,0,9.200000000000045,60426
M,299.4,308.6,1455,42.7,183,0,0,0,0,0,0,9.200000000000045,62128.50000000001
M,299.3,308.5,1422,43.1,186,0,0,0,0,0,0,9.199999999999989,61288.200000000004
L,299.3,308.6,1403,50.6,189,0,0,0,0,0,0,9.300000000000011,70991.8
L,299.3,308.6,1474,49.6,191,0,0,0,0,0,0,9.300000000000011,73110.40000000001
L,299.2,308.6,1381,50,193,0,0,0,0,0,0,9.400000000000034,69050
L,299.2,308.5,1457,44.7,195,0,0,0,0,0,0,9.300000000000011,65127.9
L,299.2,308.4,1711,28.9,197,0,0,0,0,0,0,9.199999999999989,49447.899999999994
L,299.2,308.4,1667,29,199,0,0,0,0,0,0,9.199999999999989,48343
L,299.2,308.4,1465,35,201,0,0,0,0,0,0,9.199999999999989,51275
M,299.3,308.4,1542,37.5,203,1,1,0,0,0,0,9.099999999999966,57825
M,299.3,308.4,1438,42.3,0,0,0,0,0,0,0,9.099999999999966,60827.399999999994
L,299.3,308.4,1406,47.4,3,0,0,0,0,0,0,9.099999999999966,66644.4
M,299.2,308.4,1396,48.5,5,0,0,0,0,0,0,9.199999999999989,67706
M,299.3,308.5,1304,60.6,8,0,0,0,0,0,0,9.199999999999989,79022.40000000001
L,299.2,308.5,1442,46.5,11,0,0,0,0,0,0,9.300000000000011,67053
M,299.2,308.4,1396,48.7,13,0,0,0,0,0,0,9.199999999999989,67985.2
H,299.1,308.3,1424,43.4,16,0,0,0,0,0,0,9.199999999999989,61801.6
H,299.1,308.3,1451,42.8,21,0,0,0,0,0,0,9.199999999999989,62102.799999999996
L,299.2,308.4,1386,54.1,26,0,0,0,0,0,0,9.199999999999989,74982.6
L,299.1,308.3,1325,46.9,28,0,0,0,0,0,0,9.199999999999989,62142.5
L,299.1,308.3,1559,33.7,30,0,0,0,0,0,0,9.199999999999989,52538.3
L,299.1,308.3,1489,38.1,32,0,0,0,0,0,0,9.199999999999989,56730.9
L,299.1,308.3,1892,25.2,34,0,0,0,0,0,0,9.199999999999989,47678.4
L,299.1,308.2,1319,60.3,36,0,0,0,0,0,0,9.099999999999966,79535.7
L,299.1,308.3,1431,52.3,38,0,0,0,0,0,0,9.199999999999989,74841.3
H,299.1,308.3,1521,36.5,40,0,0,0,0,0,0,9.199999999999989,55516.5
M,299.1,308.2,1435,45.2,45,0,0,0,0,0,0,9.099999999999966,64862.00000000001
L,299.1,308.3,1533,42.4,48,0,0,0,0,0,0,9.199999999999989,64999.2
M,299.2,308.4,1529,43,50,0,0,0,0,0,0,9.199999999999989,65747
M,299.2,308.4,1415,43.5,53,0,0,0,0,0,0,9.199999999999989,61552.5
M,299.2,308.4,1330,51.2,56,0,0,0,0,0,0,9.199999999999989,68096
L,299.2,308.5,1381,60.6,59,0,0,0,0,0,0,9.300000000000011,83688.6
L,299.2,308.5,1370,52.4,61,0,0,0,0,0,0,9.300000000000011,71788
L,299.2,308.5,1438,46.6,63,0,0,0,0,0,0,9.300000000000011,67010.8
L,299.3,308.6,1314,48.2,65,0,0,0,0,0,0,9.300000000000011,63334.8
L,299.3,308.6,1437,48.1,67,0,0,0,0,0,0,9.300000000000011,69119.7
L,299.2,308.5,1821,26.1,69,0,0,0,0,0,0,9.300000000000011,47528.100000000006
M,299.3,308.6,1448,52.1,71,0,0,0,0,0,0,9.300000000000011,75440.8
L,299.3,308.5,1589,32.7,74,0,0,0,0,0,0,9.199999999999989,51960.3
L,299.3,308.6,1520,33.7,76,0,0,0,0,0,0,9.300000000000011,51224.00000000001
L,299.3,308.6,1605,37,78,0,0,0,0,0,0,9.300000000000011,59385
L,299.3,308.7,1393,54.2,80,0,0,0,0,0,0,9.399999999999977,75500.6
H,299.3,308.7,1408,44.4,82,0,0,0,0,0,0,9.399999999999977,62515.2
M,299.3,308.7,1459,35.6,87,0,0,0,0,0,0,9.399999999999977,51940.4
L,299.4,308.7,1525,39,90,0,0,0,0,0,0,9.300000000000011,59475
L,299.4,308.8,1390,57,92,0,0,0,0,0,0,9.400000000000034,79230
L,299.3,308.7,1536,38.9,94,0,0,0,0,0,0,9.399999999999977,59750.399999999994
L,299.4,308.7,1459,47.6,96,0,0,0,0,0,0,9.300000000000011,69448.40000000001
L,299.2,308.5,1387,51.1,98,0,0,0,0,0,0,9.300000000000011,70875.7
L,299.2,308.5,1378,53.4,100,0,0,0,0,0,0,9.300000000000011,73585.2
L,299.4,308.7,1381,56.7,102,0,0,0,0,0,0,9.300000000000011,78302.7
M,299.4,308.7,1289,60.5,104,0,0,0,0,0,0,9.300000000000011,77984.5
L,299.4,308.6,1746,26.8,107,0,0,0,0,0,0,9.200000000000045,46792.8
M,299.4,308.6,1541,39.1,109,0,0,0,0,0,0,9.200000000000045,60253.100000000006
L,299.4,308.7,1504,37.8,112,0,0,0,0,0,0,9.300000000000011,56851.2
M,299.5,308.7,1321,51.9,114,0,0,0,0,0,0,9.199999999999989,68559.9
M,299.5,308.8,1886,20.9,117,0,0,0,0,0,0,9.300000000000011,39417.399999999994
L,299.6,308.9,1422,53.2,120,0,0,0,0,0,0,9.299999999999955,75650.40000000001
L,299.5,308.9,1520,38.3,122,0,0,0,0,0,0,9.399999999999977,58215.99999999999
L,299.4,308.8,1627,32.6,124,0,0,0,0,0,0,9.400000000000034,53040.200000000004
L,299.4,308.7,1512,37.2,126,0,0,0,0,0,0,9.300000000000011,56246.4
L,299.4,308.7,1553,42.7,128,0,0,0,0,0,0,9.300000000000011,66313.1
L,299.3,308.7,1802,26,130,0,0,0,0,0,0,9.399999999999977,46852
L,299.3,308.6,1482,37.6,132,0,0,0,0,0,0,9.300000000000011,55723.200000000004
L,299.4,308.7,1446,62.9,134,1,0,0,1,0,0,9.300000000000011,90953.4
L,299.3,308.6,1371,50.5,136,0,0,0,0,0,0,9.300000000000011,69235.5
M,299.2,308.6,1586,35.7,138,0,0,0,0,0,0,9.400000000000034,56620.200000000004
L,299.2,308.5,1515,39.8,141,0,0,0,0,0,0,9.300000000000011,60296.99999999999
L,299.2,308.5,1374,53.6,143,0,0,0,0,0,0,9.300000000000011,73646.40000000001
L,299.1,308.5,1455,39.8,145,0,0,0,0,0,0,9.399999999999977,57908.99999999999
H,299.2,308.5,1342,47.5,147,0,0,0,0,0,0,9.300000000000011,63745
L,299.1,308.6,1260,57.8,152,0,0,0,0,0,0,9.5,72828
H,299,308.5,1623,33.5,154,0,0,0,0,0,0,9.5,54370.5
L,299.1,308.5,1371,55.5,159,0,0,0,0,0,0,9.399999999999977,76090.5
L,299.1,308.6,1611,31.4,161,0,0,0,0,0,0,9.5,50585.399999999994
M,299,308.4,1535,47.5,163,0,0,0,0,0,0,9.399999999999977,72912.5
M,299.1,308.6,1491,38.5,166,0,0,0,0,0,0,9.5,57403.5
M,299.1,308.6,1441,36.2,169,0,0,0,0,0,0,9.5,52164.200000000004
M,299.1,308.8,1725,26.6,172,0,0,0,0,0,0,9.699999999999989,45885
